English,Hindi
Ambiguous,अस्पष्ट
Meticulous,सूक्ष्म ध्यान देने वाला
Inevitable,अपरिहार्य
Resilient,लचीला
Scrutinize,जाँच-पड़ताल करना
Eloquent,प्रभावशाली बोलने वाला
Vulnerable,असुरक्षित
Pragmatic,व्यावहारिक
Ubiquitous,सर्वव्यापी
Notion,धारणा
Plausible,विश्वसनीय
Contradict,विरोध करना
Hypocrisy,पाखंड
Substantial,महत्वपूर्ण
Impeccable,बेदाग
Profound,गहरा
Tedious,उबाऊ
Perception,धारणा
Conscientious,कर्तव्यनिष्ठ
Deteriorate,बिगड़ना
Ameliorate,सुधार करना
Procrastinate,टालमटोल करना
Diligent,परिश्रमी
Transient,क्षणिक
Intricate,जटिल
Subtle,सूक्ष्म
Optimistic,आशावादी
Emerge,उभरना
Reinforce,मजबूत करना
Fluctuate,उतार-चढ़ाव होना
Improvise,बिना तैयारी करना
Coherent,सुसंगत
Irrational,अतार्किक
Affluent,समृद्ध
Benevolent,दयालु
Candid,ईमानदार
Inevitable,अनिवार्य
Perplexing,उलझन पैदा करने वाला
Ambivalent,द्विविधा में
Prolific,उत्पादक
Skeptical,संशयपूर्ण
Tenacious,दृढ़
Adept,निपुण
Imminent,आसन्न
Articulate,स्पष्ट रूप से व्यक्त करना
Conventional,परंपरागत
Elusive,पकड़ में न आने वाला
Frivolous,तुच्छ
Gratify,संतुष्ट करना
Hinder,बाधा डालना
Imperative,अत्यंत आवश्यक
Juxtapose,समीप रखना
Lethargic,सुस्त
Magnanimous,उदार
Nebulous,अस्पष्ट
Oblivious,अनजान
Paradox,विसंगति
Quintessential,आदर्श
Repercussion,प्रभाव
Scrupulous,ईमानदार
Trivial,तुच्छ
Vindicate,साबित करना
Wary,सावधान
Zealous,उत्साही
Concur,सहमत होना
Enigmatic,रहस्यमय
Feasible,संभव
Hostile,विरोधी
Illustrious,प्रसिद्ध
Keen,उत्सुक
Lucid,स्पष्ट
Mundane,सामान्य
Notorious,कुख्यात
Obsolete,पुराना / अप्रचलित
Persevere,दृढ़ता से प्रयास करना
Quench,बुझाना
Reclusive,एकांतप्रिय
Stagnant,ठहरा हुआ
Tangible,स्पष्ट / प्रत्यक्ष
Unanimous,सर्वसम्मत
Vigor,ऊर्जा
Withstand,झेलना
Yearn,तरसना
Acclaim,सराहना करना
Bolster,समर्थन देना
Conceal,छिपाना
Dazzling,चमकदार
Endeavor,प्रयास करना
Futile,व्यर्थ
Gravity,गुरुत्वाकर्षण
Harmony,सामंजस्य
Imitate,नकल करना
Legitimate,वैध
Mitigate,कम करना
Negligent,लापरवाह
Obstruct,रोकना
Pertinent,संबंधित
Query,प्रश्न
Revelation,प्रकाशन
Sagacious,बुद्धिमान
Thrive,फलना-फूलना
Uphold,समर्थन करना
Viable,व्यवहार्य
Wholesome,स्वस्थकर
Yield,उत्पादन देना
Zenith,चरम
